id,service_type,skill_level,user
1,programming,1,1
2,cleaning,2,1
3,cooking,3,1
4,delivery,4,2
5,recycling,5,2
6,knitting,1,2
7,programming,2,3
8,cleaning,3,3
9,cooking,4,3
10,delivery,5,4
11,recycling,1,4
12,knitting,2,4
13,programming,3,5
14,cleaning,4,5
15,cooking,5,5
16,delivery,1,6
17,recycling,2,6
18,knitting,3,6
19,programming,4,7
20,cleaning,5,7
21,cooking,1,7
22,delivery,2,8
23,recycling,3,8
24,knitting,4,8
25,programming,5,9
26,cleaning,1,9
27,cooking,2,9
28,delivery,3,10
29,recycling,4,10
30,knitting,5,10
31,programming,1,11
32,cleaning,2,11
33,cooking,3,11
34,delivery,4,12
35,recycling,5,12
36,knitting,1,12
37,programming,2,13
38,cleaning,3,13
39,cooking,4,13
40,delivery,5,14
41,recycling,1,14
42,knitting,2,14
43,programming,3,15
44,cleaning,4,15
45,cooking,5,15
46,delivery,1,16
47,recycling,2,16
48,knitting,3,16
49,programming,4,17
50,cleaning,5,17
51,programming,1,17
52,cleaning,2,18
53,cooking,3,18
54,delivery,4,18
55,recycling,5,19
56,knitting,1,19
57,programming,2,19
58,cleaning,3,20
59,cooking,4,20
60,delivery,5,20
