id,service_type,age_preference,rating_preference,gender_preference,skill_level_preference,user
1,programming,18,5,male,high,1
2,cleaning,18,5,male,high,2
3,cooking,18,5,male,high,3
4,delivery,18,5,male,medium,4
5,recycling,30,5,male,medium,5
6,knitting,30,5,male,medium,6
7,programming,30,5,male,low,7
8,cleaning,30,5,male,low,8
9,cooking,40,5,male,low,9
10,delivery,40,5,male,high,10
11,recycling,40,5,male,high,11
12,knitting,40,5,male,high,12
13,programming,18,4,male,medium,13
14,cleaning,18,4,male,medium,14
15,cooking,18,4,male,medium,15
16,delivery,18,4,male,low,16
17,recycling,18,4,male,low,17
18,knitting,18,4,male,low,18
19,programming,18,4,male,high,19
20,cleaning,18,4,male,high,20
21,cooking,18,4,male,high,1
22,delivery,18,4,male,medium,2
23,recycling,18,4,male,medium,3
24,knitting,18,4,male,medium,4
25,programming,18,4,male,low,5
26,cleaning,18,5,male,low,6
27,cooking,18,4,male,low,7
28,delivery,18,4,male,high,8
29,recycling,18,4,male,high,9
30,knitting,18,4,male,high,10
31,programming,18,4,male,medium,11
32,cleaning,18,4,male,medium,12
33,cooking,18,4,male,medium,13
34,delivery,18,4,female,low,14
35,recycling,18,4,female,low,15
36,knitting,18,5,female,low,16
37,programming,18,4,female,high,17
38,cleaning,18,4,female,high,18
39,cooking,18,4,female,high,19
40,delivery,18,4,female,medium,20
41,recycling,18,4,female,medium,1
42,knitting,18,4,female,medium,2
43,programming,18,4,female,low,3
44,cleaning,18,4,female,low,4
45,cooking,18,4,female,low,5
46,delivery,18,4,female,high,6
47,recycling,18,4,female,high,7
48,knitting,18,4,female,high,8
49,programming,18,4,female,medium,9
50,cleaning,18,4,female,medium,10
